school,date,amount,sport,deal_description,is_social_media
ucla,2023,1000.0,Volleyball,Social Media,1
ucla,2023,1000.0,Volleyball,Social Media,1
ucla,2023,1000.0,Other,Social Media,1
ucla,2023,1000.0,Other,Social Media,1
ucla,2023,1000.0,Volleyball,Social Media,1
ucla,2023,1000.0,Volleyball,Social Media,1
ucla,2023,1000.0,Volleyball,Social Media,1
ucla,2023,1000.0,Volleyball,Social Media,1
ucla,2023,1000.0,Volleyball,Social Media,1
ucla,2023,1000.0,Volleyball,Social Media,1
ucla,2023,1000.0,Volleyball,Social Media,1
ucla,2023,11.01,Basketball,Social Media,1
ucla,2023,4500.0,Volleyball,Social Media,1
ucla,2023,250.0,Football,Social Media,1
ucla,2023,22.5,Basketball,Social Media,1
ucla,2023,15.0,Basketball,Social Media,1
ucla,2023,100.0,Basketball,Social Media,1
ucla,2023,5730.0,Football,Camps and Lessons,0
ucla,2023,57.74,Basketball,Social Media,1
ucla,2023,11.01,Basketball,Social Media,1
ucla,2023,57.74,Basketball,Social Media,1
ucla,2023,500.0,Volleyball,Autographs,0
ucla,2023,300.0,Basketball,Public Appearance,0
ucla,2023,1000.0,Basketball,Social Media,1
ucla,2023,3000.0,Gymnastics,Social Media,1
ucla,2023,75000.0,Gymnastics,Social Media,1
ucla,2023,17000.0,Gymnastics,Social Media,1
ucla,2023,25000.0,Gymnastics,Social Media,1
ucla,2023,3500.0,Gymnastics,Social Media,1
ucla,2023,6700.0,Gymnastics,Social Media,1
ucla,2023,8000.0,Gymnastics,Social Media,1
ucla,2023,35000.0,Gymnastics,Social Media,1
ucla,2023,40000.0,Gymnastics,Social Media,1
ucla,2023,85000.0,Gymnastics,Social Media,1
ucla,2023,5000.0,Gymnastics,Social Media,1
ucla,2023,4500.0,Gymnastics,Public Appearance,0
ucla,2023,10000.0,Gymnastics,Camps and Lessons,0
ucla,2023,450.0,Gymnastics,Public Appearance,0
ucla,2023,25000.0,Gymnastics,Social Media,1
ucla,2023,15.0,Basketball,Social Media,1
ucla,2023,15.0,Basketball,Social Media,1
ucla,2023,5000.0,Basketball,Social Media,1
ucla,2023,5000.0,Basketball,Social Media,1
ucla,2023,500.0,Gymnastics,Social Media,1
ucla,2023,500.0,Track and Field,Social Media,1
ucla,2023,50.0,Cross Country,Other,0
ucla,2023,34.0,Gymnastics,Social Media,1
ucla,2023,80.0,Water Polo,Social Media,1
ucla,2023,150000.0,Basketball,Social Media,1
ucla,2023,75.0,Basketball,Social Media,1
ucla,2023,22.5,Basketball,Social Media,1
ucla,2023,4000.0,Gymnastics,Social Media,1
ucla,2023,49.41,Track and Field,Social Media,1
ucla,2023,1000.0,Basketball,Social Media,1
ucla,2023,200.0,Basketball,Social Media,1
ucla,2023,15.0,Basketball,Social Media,1
ucla,2023,1250.0,Basketball,Public Appearance,0
ucla,2023,200.0,Basketball,Social Media,1
ucla,2023,200.0,Basketball,Social Media,1
ucla,2023,200.0,Basketball,Social Media,1
ucla,2023,1000.0,Basketball,Social Media,1
ucla,2023,11.01,Basketball,Social Media,1
ucla,2023,84000.0,Football,Other,0
ucla,2023,30000.0,Football,Other,0
ucla,2023,83.99,Basketball,Social Media,1
ucla,2023,200.0,Softball,Social Media,1
ucla,2023,1000.0,Basketball,Social Media,1
ucla,2023,1000.0,Basketball,Social Media,1
ucla,2023,10000.0,Basketball,Social Media,1
ucla,2023,10000.0,Basketball,Social Media,1
ucla,2023,16.26,Basketball,Social Media,1
ucla,2023,250.0,Basketball,Social Media,1
ucla,2023,5000.0,Basketball,Business Ownership/Creation,0
ucla,2023,250.0,Football,Social Media,1
ucla,2023,16.26,Basketball,Social Media,1
ucla,2023,500.0,Volleyball,Social Media,1
ucla,2023,16.26,Basketball,Social Media,1
ucla,2023,15.0,Basketball,Social Media,1
ucla,2023,15.0,Basketball,Social Media,1
ucla,2023,250.0,Baseball,Social Media,1
ucla,2023,250.0,Baseball,Social Media,1
ucla,2023,11.01,Basketball,Social Media,1
ucla,2023,16.26,Basketball,Social Media,1
ucla,2023,250.0,Football,Social Media,1
ucla,2023,11.01,Basketball,Social Media,1
ucla,2023,1090.0,Volleyball,Social Media,1
ucla,2023,16.26,Basketball,Social Media,1
ucla,2023,16.26,Basketball,Social Media,1
ucla,2023,16.26,Basketball,Social Media,1
ucla,2023,500.0,Volleyball,Social Media,1
ucla,2023,16.26,Basketball,Social Media,1
ucla,2023,5000.0,Basketball,Social Media,1
ucla,2023,20000.0,Baseball,Outside Employment,0
ucla,2023,4000.0,Basketball,Other,0
ucla,2023,4000.0,Basketball,Other,0
ucla,2023,4000.0,Basketball,Other,0
ucla,2023,4000.0,Basketball,Other,0
ucla,2023,4000.0,Basketball,Other,0
ucla,2023,4000.0,Basketball,Other,0
ucla,2023,4000.0,Basketball,Other,0
ucla,2023,4000.0,Basketball,Other,0
ucla,2023,4000.0,Basketball,Other,0
ucla,2023,4000.0,Basketball,Other,0
ucla,2023,4000.0,Basketball,Other,0
ucla,2023,4000.0,Basketball,Other,0
ucla,2023,18000.0,Basketball,Social Media,1
ucla,2023,115.0,Cross Country,Not Sure,0
ucla,2023,3000.0,Basketball,Social Media,1
ucla,2023,1000.0,Basketball,Other,0
ucla,2023,1000.0,Basketball,Other,0
ucla,2023,1000.0,Basketball,Other,0
ucla,2023,1000.0,Basketball,Other,0
ucla,2023,1000.0,Basketball,Other,0
ucla,2023,1000.0,Basketball,Other,0
ucla,2023,1000.0,Basketball,Other,0
ucla,2023,1000.0,Basketball,Other,0
ucla,2023,1000.0,Basketball,Other,0
ucla,2023,1000.0,Basketball,Other,0
ucla,2023,1000.0,Basketball,Other,0
ucla,2023,1000.0,Basketball,Other,0
ucla,2023,5000.0,Basketball,Other,0
ucla,2023,5000.0,Basketball,Other,0
ucla,2023,5000.0,Basketball,Other,0
ucla,2023,5000.0,Basketball,Other,0
ucla,2023,500.0,Basketball,Other,0
ucla,2023,500.0,Basketball,Other,0
ucla,2023,500.0,Basketball,Other,0
ucla,2023,10000.0,Basketball,Social Media,1
ucla,2023,5000.0,Basketball,Social Media,1
ucla,2023,5000.0,Basketball,Social Media,1
ucla,2023,15000.0,Basketball,Social Media,1
ucla,2023,4000.0,Basketball,Social Media,1
ucla,2023,4000.0,Basketball,Social Media,1
ucla,2023,2500.0,Basketball,Social Media,1
ucla,2023,3000.0,Basketball,Social Media,1
ucla,2023,22.5,Basketball,Social Media,1
ucla,2023,300.0,Football,Public Appearance,0
ucla,2023,11.01,Basketball,Social Media,1
ucla,2023,1300.0,Football,Social Media,1
ucla,2023,43.39,Track and Field,Social Media,1
ucla,2023,500.0,Basketball,Social Media,1
ucla,2023,112.5,Basketball,Social Media,1
ucla,2023,75.0,Basketball,Social Media,1
ucla,2023,12000.0,Beach Volleyball,Other,0
ucla,2023,100.0,Swimming/Diving,Social Media,1
ucla,2023,200.0,Softball,Social Media,1
ucla,2023,75.0,Basketball,Social Media,1
ucla,2023,26.25,Basketball,Social Media,1
ucla,2023,15.0,Basketball,Social Media,1
ucla,2023,1000.0,Volleyball,Social Media,1
ucla,2023,22.5,Basketball,Social Media,1
ucla,2023,9800.0,Gymnastics,Social Media,1
ucla,2023,3000.0,Softball,Social Media,1
ucla,2023,12500.0,Football,Other,0
ucla,2023,5000.0,Basketball,Social Media,1
ucla,2023,136.0,Gymnastics,Social Media,1
ucla,2023,11.01,Basketball,Social Media,1
ucla,2023,200.0,Softball,Social Media,1
ucla,2023,7000.0,Basketball,Social Media,1
ucla,2023,26.25,Basketball,Social Media,1
ucla,2023,5000.0,Golf,Social Media,1
ucla,2023,5000.0,Gymnastics,Social Media,1
ucla,2023,75.0,Basketball,Social Media,1
ucla,2023,15.0,Basketball,Social Media,1
ucla,2023,100.0,Basketball,Social Media,1
ucla,2023,2500.0,Basketball,Social Media,1
ucla,2023,100.0,Basketball,Social Media,1
ucla,2023,5000.0,Basketball,Social Media,1
ucla,2023,2500.0,Basketball,Social Media,1
ucla,2023,17.5,Baseball,Royalty,0
ucla,2023,14000.0,Basketball,Other,0
ucla,2022,600.0,Football,Social Media,1
ucla,2022,3000.0,Football,Social Media,1
ucla,2022,2500.0,Football,Social Media,1
ucla,2022,100.0,Volleyball,Social Media,1
ucla,2022,15.0,Basketball,Social Media,1
ucla,2022,15.0,Basketball,Social Media,1
ucla,2022,15.0,Basketball,Social Media,1
ucla,2022,500.0,Basketball,Public Appearance,0
ucla,2022,200.0,Basketball,Representation Disclosure,0
ucla,2022,17000.0,Gymnastics,Social Media,1
ucla,2022,200.0,Swimming/Diving,Social Media,1
ucla,2022,200.0,Swimming/Diving,Social Media,1
ucla,2022,83.99,Basketball,Social Media,1
ucla,2022,1000.0,Softball,Public Appearance,0
ucla,2022,10000.0,Softball,Social Media,1
ucla,2022,17.5,Football,Royalty,0
ucla,2022,22.5,Basketball,Social Media,1
ucla,2023,1500.0,Basketball,Other,0
ucla,2023,1500.0,Basketball,Other,0
ucla,2023,1500.0,Basketball,Other,0
ucla,2023,1500.0,Basketball,Other,0
ucla,2023,1500.0,Basketball,Other,0
ucla,2023,1500.0,Basketball,Other,0
ucla,2023,1500.0,Basketball,Other,0
ucla,2023,1500.0,Basketball,Other,0
ucla,2023,1500.0,Basketball,Other,0
ucla,2023,1500.0,Basketball,Other,0
ucla,2023,1500.0,Basketball,Other,0
ucla,2023,1500.0,Basketball,Other,0
ucla,2023,1500.0,Basketball,Other,0
ucla,2023,1500.0,Basketball,Other,0
ucla,2023,1500.0,Basketball,Other,0
ucla,2023,1500.0,Basketball,Other,0
ucla,2023,1500.0,Basketball,Other,0
ucla,2022,2200.0,Softball,Social Media,1
ucla,2022,500.0,Track and Field,Other,0
ucla,2022,75.0,Basketball,Social Media,1
ucla,2022,75.0,Softball,Social Media,1
ucla,2022,75.0,Softball,Social Media,1
ucla,2022,2200.0,Softball,Social Media,1
ucla,2022,2200.0,Softball,Social Media,1
ucla,2022,800.0,Golf,Other,0
ucla,2022,800.0,Golf,Other,0
ucla,2022,800.0,Golf,Other,0
ucla,2022,11.01,Basketball,Social Media,1
ucla,2022,10000.0,Basketball,Other,0
